source,algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
HalfCheetah-v5,0,0.001249396838723,0.8492085977423589,0.2992537345212366,128.0,,,,,,-140.49625446666664,141.33824960664805,-514.5011358718965,85.28675803122613,374.0048814052298,3
HalfCheetah-v5,0,0.0003157431316102,0.9811690316162848,0.2714931536828951,2048.0,,,,,,681.9718528666666,39.80847990892725,-157.36823195280206,39.65712533298891,839.3400848194688,3
HalfCheetah-v5,0,0.0019775786707286,0.980994397880878,0.1439693761748517,2048.0,,,,,,100.62737123333332,53.79166851374265,-304.5072204114577,84.76874478767463,405.13459164479104,3
HalfCheetah-v5,0,0.0064953118525669,0.8633558956351494,0.1711225214373955,512.0,,,,,,-275.9438318,110.29465187573992,-453.8496215368593,71.96677108341218,177.90578973685933,3
HalfCheetah-v5,0,0.0078222566502561,0.9461264813628976,0.1889853191339112,1024.0,,,,,,-286.39668566666666,73.45488737653348,-521.3732686254979,65.04796481021681,234.97658295883124,3
HalfCheetah-v5,0,0.0001516746280098,0.9452088560416556,0.2328415450001254,512.0,,,,,,332.4916365666666,468.4191599742901,-171.9730975763026,67.18969982659466,504.4647341429692,3
HalfCheetah-v5,0,0.000122966205875,0.8233069777121113,0.2827480808953421,512.0,,,,,,481.2033553,350.04519049126264,-70.67931440644267,57.11896420452023,551.8826697064427,3
HalfCheetah-v5,0,0.0003374444452628,0.9944699156576512,0.2950875125343949,512.0,,,,,,1220.8119184999998,220.55746626934615,-300.8094795223487,40.837009462892446,1521.6213980223486,3
HalfCheetah-v5,0,0.0001514279102802,0.9752704766466052,0.2340270089086015,512.0,,,,,,669.8308854333333,186.8707997501455,-289.793433277581,107.73783442023672,959.6243187109144,3
HalfCheetah-v5,0,0.0064750542753648,0.8225802262206395,0.1954869926707907,1024.0,,,,,,-147.96445226666663,74.5035924375632,-458.42013136170095,145.5286656423501,310.4556790950343,3
HalfCheetah-v5,0,0.000107590223738,0.8300156020734993,0.1467390348450811,1024.0,,,,,,469.4272819666666,141.25622302088618,9.819003397503309,43.604752649475614,459.6082785691633,3
HalfCheetah-v5,0,0.0012050226450681,0.8811661034614692,0.1899868931072162,512.0,,,,,,625.9615826999999,111.64100682811346,-118.64292472701986,65.7339120499402,744.6045074270199,3
HalfCheetah-v5,0,0.0001262957893384,0.8561957298997335,0.2969564829417537,2048.0,,,,,,676.6774979,241.0567268157407,63.21058281116009,56.7296787354891,613.4669150888399,3
HalfCheetah-v5,0,0.0002234976039146,0.8869456426705421,0.2822932079353555,128.0,,,,,,951.3900051333334,107.50596308058402,-175.1551404983402,127.3339652193439,1126.5451456316734,3
HalfCheetah-v5,0,0.0054479514054395,0.966623719548386,0.1559192686426773,512.0,,,,,,-374.97081786666666,74.10076367554072,-565.6889653359366,78.33598919010085,190.7181474692699,3
HalfCheetah-v5,0,0.00020321867034,0.9351572316184124,0.2978669925649659,1024.0,,,,,,717.4751324333333,207.031140185404,-79.99533346561353,65.31722542950804,797.4704658989468,3
HalfCheetah-v5,0,0.0009515094720117,0.9472075108721404,0.2938235881721911,128.0,,,,,,913.4272188,190.5341684745757,-328.795132898978,74.81996148284976,1242.222351698978,3
HalfCheetah-v5,0,0.0006955479794212,0.9536469314603652,0.2678304132458364,2048.0,,,,,,501.0548569,107.31932432321643,-276.400029320069,32.143320268087884,777.454886220069,3
HalfCheetah-v5,0,0.006542600081027,0.8310789031779563,0.2305094370611246,2048.0,,,,,,164.6699307,78.96472175168161,-352.9958012821707,74.22392577693601,517.6657319821707,3
HalfCheetah-v5,0,0.003825562061598,0.953320951915226,0.2036453634356483,512.0,,,,,,-100.18341146666668,165.6519275089361,-264.55430111522537,106.35671003234177,164.3708896485587,3
HalfCheetah-v5,0,0.0008973434544168,0.9019659633388712,0.2092105070358081,128.0,,,,,,498.5796163,184.0316074940018,-190.90096140046467,78.0267153919235,689.4805777004648,3
HalfCheetah-v5,0,0.0001479249145005,0.9638502433210828,0.1032787921731618,128.0,,,,,,266.6603564,230.26706873691973,-146.33982066351635,111.5737828029317,413.00017706351633,3
HalfCheetah-v5,0,0.0001428486881884,0.851989421899696,0.2610900261288095,1024.0,,,,,,479.3530502333333,240.5024151125674,-134.2052185421921,59.03855659380711,613.5582687755254,3
HalfCheetah-v5,0,0.0065309583994454,0.8858026727898842,0.163778979850331,2048.0,,,,,,152.5972272,142.70861628187367,-408.2297077060157,89.89497151091253,560.8269349060157,3
HalfCheetah-v5,0,0.0007437974697101,0.8020014127246925,0.2417561920833815,512.0,,,,,,907.7713511,121.51589899244956,-143.11011535454395,70.95291643849241,1050.881466454544,3
HalfCheetah-v5,0,0.0003791491753719,0.8879642554158106,0.122877152399469,128.0,,,,,,587.0369286666668,524.4701648008163,-230.15518996643428,65.08905037814547,817.192118633101,3
