learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0002858429767991,0.8440187622867715,0.0058407112910528,0.1156145807553991,1000.0,0.0,1000.0,0.0,1,49376,0.0
0.0002858429767991,0.8440187622867715,0.0058407112910528,0.1156145807553991,1000.0,0.0,1000.0,0.0,2,34350,0.0
0.0056894734833404,0.8543146401853018,0.0038463658144352,0.0367648479552235,1000.0,0.0,1000.0,0.0,0,88887,0.0
0.0056894734833404,0.8543146401853018,0.0038463658144352,0.0367648479552235,1000.0,0.0,1000.0,0.0,1,48786,0.0
0.0056894734833404,0.8543146401853018,0.0038463658144352,0.0367648479552235,1000.0,0.0,1000.0,0.0,2,20167,0.0
0.0051316789520392,0.8458077438511967,0.0068482293101556,0.1704737464468691,1000.0,0.0,1000.0,0.0,0,12282,0.0
0.0051316789520392,0.8458077438511967,0.0068482293101556,0.1704737464468691,1000.0,0.0,1000.0,0.0,1,23749,0.0
0.0051316789520392,0.8458077438511967,0.0068482293101556,0.1704737464468691,1000.0,0.0,1000.0,0.0,2,23820,0.0
0.0004221821552,0.9189331736118622,0.0022859437182351,0.1456681816220387,1000.0,0.0,1000.0,0.0,0,19447,0.0
0.0004221821552,0.9189331736118622,0.0022859437182351,0.1456681816220387,1000.0,0.0,1000.0,0.0,1,40981,0.0
0.0004221821552,0.9189331736118622,0.0022859437182351,0.1456681816220387,1000.0,0.0,1000.0,0.0,2,53131,0.0
0.0065239560558227,0.8784897109393184,0.0076993334079151,0.102407676384582,1000.0,0.0,1000.0,0.0,0,32506,0.0
0.0065239560558227,0.8784897109393184,0.0076993334079151,0.102407676384582,1000.0,0.0,1000.0,0.0,1,78721,0.0
0.0065239560558227,0.8784897109393184,0.0076993334079151,0.102407676384582,1000.0,0.0,1000.0,0.0,2,12251,0.0
0.000527517591237,0.9787313332981484,0.0012959919928953,0.0174280604312643,1000.0,0.0,1000.0,0.0,0,40442,0.0
