learning_rate,gamma,gae_lambda,vf_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0061064974986954,0.8537277024368574,0.9272118018238528,0.4567523519670695,4.0,0.0,13.4,4.409081537009721,0,75679,-9.4
0.0061064974986954,0.8537277024368574,0.9272118018238528,0.4567523519670695,2.0,0.0,9.3,1.417744687875783,1,81412,-7.300000000000001
0.0061064974986954,0.8537277024368574,0.9272118018238528,0.4567523519670695,256.5,207.5934729224404,1000.0,0.0,2,48131,-743.5
0.0015466777515236,0.9195775718263808,0.9508982090613622,0.4370824262088341,1000.0,0.0,1000.0,0.0,0,54444,0.0
0.0015466777515236,0.9195775718263808,0.9508982090613622,0.4370824262088341,1000.0,0.0,1000.0,0.0,1,23975,0.0
0.0015466777515236,0.9195775718263808,0.9508982090613622,0.4370824262088341,1000.0,0.0,1000.0,0.0,2,83613,0.0
0.0031560525015442,0.9624936629548986,0.9006139493929355,0.7010254380441034,2.0,0.0,9.8,1.4,0,15452,-7.800000000000001
0.0031560525015442,0.9624936629548986,0.9006139493929355,0.7010254380441034,2.0,0.0,10.2,1.8867962264113207,1,60203,-8.2
0.0031560525015442,0.9624936629548986,0.9006139493929355,0.7010254380441034,31.9,2.7730849247724096,431.6,93.00129031362953,2,40505,-399.70000000000005
0.0076766549304786,0.945313783733299,0.9074554655317334,0.3950950653780288,2.0,0.0,8.4,1.6852299546352716,0,20258,-6.4
0.0076766549304786,0.945313783733299,0.9074554655317334,0.3950950653780288,2.0,0.0,8.8,1.661324772583615,1,77112,-6.800000000000001
0.0076766549304786,0.945313783733299,0.9074554655317334,0.3950950653780288,85.4,24.650354967018224,126.8,22.66186223592404,2,91169,-41.39999999999999
0.0080008470660052,0.9293431836100908,0.9711478670748752,0.7869390433447148,4.0,0.0,14.4,3.32264954516723,0,68148,-10.4
0.0080008470660052,0.9293431836100908,0.9711478670748752,0.7869390433447148,1000.0,0.0,1000.0,0.0,1,92004,0.0
0.0080008470660052,0.9293431836100908,0.9711478670748752,0.7869390433447148,37.5,10.604244433244643,60.9,16.256998492956814,2,2763,-23.4
0.0009451998572519,0.8968782712846817,0.9339108152949348,0.37633184641919,1000.0,0.0,1000.0,0.0,0,46924,0.0
0.0009451998572519,0.8968782712846817,0.9339108152949348,0.37633184641919,1000.0,0.0,1000.0,0.0,1,11277,0.0
